Episode,Total_Reward,Epsilon,Average_Loss
1,-32941.0,0.96,772.5156030756516
2,-23218.0,0.9216,1199.5230483161079
3,-28176.0,0.884736,888.8763634999593
4,-22152.0,0.84934656,894.9594417995877
5,-20919.0,0.8153726976,944.9469429439969
6,-14117.0,0.782757789696,863.009366162618
7,-21000.0,0.7514474781081599,1421.8443995157877
8,-17265.0,0.7213895789838335,1325.5374075359769
9,-24508.0,0.6925339958244802,1332.1916084925333
10,-17633.0,0.6648326359915009,1320.749017906189
11,-17910.0,0.6382393305518408,1313.3900730133057
12,-18736.0,0.6127097573297672,1923.3962498135038
13,-20563.0,0.5882013670365764,1881.5436661190456
14,-18530.0,0.5646733123551133,1898.5377458784315
15,-14232.0,0.5420863798609088,1905.7046766493056
16,-11130.0,0.5204029246664724,1743.662817870246
17,-14675.0,0.4995868076798135,2259.5358095380993
18,-14986.0,0.47960333537262095,2079.4793930265637
19,-14381.0,0.4604192019577161,1984.0783654318916
20,-10707.0,0.4420024338794074,1904.310674709744
21,-11754.0,0.42432233652423107,1882.0931077533298
22,-12018.0,0.4073494430632618,2176.0454934649997
23,-14130.0,0.3910554653407313,1924.9600765016344
24,-8351.0,0.3754132467271021,1804.6374432881673
25,-12439.0,0.360396716858018,1770.5085765414767
26,-11866.0,0.3459808481836973,1674.923210758633
27,-11208.0,0.33214161425634936,1713.1051433563232
28,-14121.0,0.3188559496860954,1558.431751844618
29,-10402.0,0.3061017116986515,1593.3992005666098
30,-11653.0,0.29385764323070546,1727.6888568030463
31,-10583.0,0.2821033375014772,1719.0193092134264
32,-10995.0,0.2708192040014181,1999.0940980275473
33,-10079.0,0.2599864358413614,1983.8117723888822
34,-10304.0,0.2495869784077069,1994.5302064259847
35,-8111.0,0.23960349927139862,2003.0902393658955
36,-13608.0,0.23001935930054268,2050.371282259623
37,-8004.0,0.22081858492852097,2381.503825717502
38,-6962.0,0.21198584153138011,2342.5962176534863
39,-12400.0,0.2035064078701249,2359.3578593677944
40,-11318.0,0.1953661515553199,2151.1907197316486
41,-11293.0,0.1875515054931071,2238.812814670139
42,-14574.0,0.1800494452733828,3328.757912572225
43,-13196.0,0.17284746746244747,3369.5914255777993
44,-7717.0,0.16593356876394957,3041.2809791141085
45,-13067.0,0.15929622601339158,3160.3484561708237
46,-18737.0,0.1529243769728559,3344.735669496324
47,-11715.0,0.14680740189394167,4637.402145089043
48,-9424.0,0.140935105818184,4220.810963906182
49,-7082.0,0.13529770158545662,4545.710719913906
50,-8513.0,0.12988579352203836,4046.7077290005154
51,-10005.0,0.12469036178115682,4138.853410890368
52,-9673.0,0.11970274730991054,5220.171037313673
53,-6580.0,0.11491463741751412,5265.367862256368
54,-7766.0,0.11031805192081355,4911.753218968709
55,-16217.0,0.105905329843981,4900.165429539151
56,-11261.0,0.10166911665022176,5177.9403504477605
57,-9699.0,0.09760235198421288,5653.557873408
58,-6821.0,0.09369825790484436,5397.598907385932
59,-7636.0,0.08995032758865058,5269.859632047018
60,-7978.0,0.08635231448510455,4153.564611159431
61,-7015.0,0.08289822190570037,3577.6990155114067
62,-7990.0,0.07958229302947235,3596.465515581767
63,-6951.0,0.07639900130829345,3656.702300813463
64,-6931.0,0.07334304125596171,3470.6842832777234
65,-8271.0,0.07040931960572323,3162.8721150080364
66,-10127.0,0.0675929468214943,3609.686087926229
67,-8807.0,0.06488922894863453,3820.981850539313
68,-7562.0,0.06229365979068914,3703.028649054633
69,-5777.0,0.059801913399061574,4032.7432185490925
70,-13175.0,0.05740983686309911,2842.504087215
71,-8203.0,0.05511344338857514,2903.8840637630888
72,-9205.0,0.052908905653032134,3848.628248341878
73,-7620.0,0.050792549426910846,3759.9976066059535
74,-5694.0,0.04876084744983441,3946.3197165807087
75,-7582.0,0.04876084744983441,3681.9688010745576
76,-10638.0,0.04876084744983441,3766.355489836799
77,-10466.0,0.04876084744983441,4490.297650845846
78,-11441.0,0.04876084744983441,4716.309903303782
79,-7767.0,0.04876084744983441,5492.670773379008
80,-8610.0,0.04876084744983441,4784.818418608771
81,-11193.0,0.04876084744983441,5500.378673818376
82,-8248.0,0.04876084744983441,5461.700926907857
83,-10551.0,0.04876084744983441,5466.3118574354385
84,-8000.0,0.04876084744983441,5854.111074701945
85,-8984.0,0.04876084744983441,6045.907138400607
86,-8716.0,0.04876084744983441,5922.16966220008
87,-11108.0,0.04876084744983441,4427.894787565867
88,-9927.0,0.04876084744983441,4904.464651595222
89,-6439.0,0.04876084744983441,5124.459576458401
90,-7487.0,0.04876084744983441,4905.478924560547
91,-7727.0,0.04876084744983441,4884.404771910773
92,-10840.0,0.04876084744983441,5041.655922804938
93,-8094.0,0.04876084744983441,4811.759248352051
94,-7069.0,0.04876084744983441,4674.458188947042
95,-10180.0,0.04876084744983441,4943.883561409844
96,-6638.0,0.04876084744983441,4537.640406778124
97,-8308.0,0.04876084744983441,4435.486821831597
98,-8143.0,0.04876084744983441,4339.066628350152
99,-11532.0,0.04876084744983441,4564.060342937046
100,-8103.0,0.04876084744983441,4386.728381029765
